지점,지점명,일시,1.5M 평균 습도(%),10CM 일 토양수분(%),1.5M 평균 기온(°C),평균 지면온도(°C)
119,수원(농),2021-03-01,98,2,5,5.4
119,수원(농),2021-03-02,82,2,2.4,4
119,수원(농),2021-03-03,75,1,3.4,3.7
119,수원(농),2021-03-04,71,1,6.7,5.6
119,수원(농),2021-03-05,80,1,7.3,7.3
119,수원(농),2021-03-06,75,1,7,7.4
119,수원(농),2021-03-07,70,1,5.7,6.6
119,수원(농),2021-03-08,76,1,4.6,6.3
119,수원(농),2021-03-09,74,1,5.3,5.8
119,수원(농),2021-03-10,73,1,7.2,7.5
119,수원(농),2021-03-11,62,1,8.6,8.4
119,수원(농),2021-03-12,73,1,8.8,7.6
119,수원(농),2021-03-13,73,1,8.1,8.1
119,수원(농),2021-03-14,82,1,7.3,8.3
119,수원(농),2021-03-15,75,1,10,9.4
119,수원(농),2021-03-16,62,1,7.6,9.9
119,수원(농),2021-03-17,59,1,7.1,8.9
119,수원(농),2021-03-18,61,0,9.9,10.5
119,수원(농),2021-03-19,56,0,13.3,13.4
119,수원(농),2021-03-20,84,0,8.8,9.1
119,수원(농),2021-03-21,73,1,5.8,7.8
119,수원(농),2021-03-22,64,1,5.8,7.6
119,수원(농),2021-03-23,71,1,8.7,9
119,수원(농),2021-03-24,71,0,9.9,10.2
119,수원(농),2021-03-25,79,0,10.5,12.8
119,수원(농),2021-03-26,66,0,11.9,13
119,수원(농),2021-03-27,83,0,11.5,9.8
119,수원(농),2021-03-28,98,2,9.7,10.1
119,수원(농),2021-03-29,73,1,10,11.3
119,수원(농),2021-03-30,58,2,9.9,11.5
119,수원(농),2021-03-31,55,1,12.6,13.2
119,수원(농),2021-04-01,39,1,16.8,14.4
119,수원(농),2021-04-02,38,1,17.2,14.9
119,수원(농),2021-04-03,82,1,16.1,13.8
119,수원(농),2021-04-04,68,3,12.2,13
119,수원(농),2021-04-05,50,2,11.5,13.2
119,수원(농),2021-04-06,61,2,12.1,13.4
119,수원(농),2021-04-07,62,1,12.4,14.1
119,수원(농),2021-04-08,57,1,11.5,13.8
119,수원(농),2021-04-09,49,1,12.8,14.2
119,수원(농),2021-04-10,59,1,11.7,14.6
119,수원(농),2021-04-11,59,1,13.8,15.6
119,수원(농),2021-04-12,76,1,13.5,12.4
119,수원(농),2021-04-13,85,3,10.2,13.1
119,수원(농),2021-04-14,63,2,7.9,11.1
119,수원(농),2021-04-15,69,2,10.5,13
119,수원(농),2021-04-16,80,1,10.2,11.4
