"소재지","품목","재배면적.제곱미터.","시도","시도전체면적","시도전채생산량","위도","경도","연도","지점코드","평균습도","토양수분","평균기온","평균지면온도","소재지별생산량"
"충청북도 괴산군","배추",2453,"충청북도",28620000,207409,36.8153571576607,127.786652163107,2022,977,76.3021276595745,19.2382978723404,18.9455319148936,22.1148936170213,17.7768790006988
"충청북도 괴산군","배추",3337,"충청북도",28620000,207409,36.8153571576607,127.786652163107,2022,977,76.3021276595745,19.2382978723404,18.9455319148936,22.1148936170213,24.18322267645
"충청북도 괴산군","배추",4380,"충청북도",28620000,207409,36.8153571576607,127.786652163107,2022,977,76.3021276595745,19.2382978723404,18.9455319148936,22.1148936170213,31.7418385744235
"충청북도 괴산군","배추",6615,"충청북도",28620000,207409,36.8153571576607,127.786652163107,2022,977,76.3021276595745,19.2382978723404,18.9455319148936,22.1148936170213,47.9388726415094
"전라북도 정읍시","배추",1276,"전라북도",16830000,161615,35.5698491739949,126.855996873997,2022,702,78.5454545454545,15.7725321888412,19.025321888412,20.9288793103448,12.2531633986928
"전라북도 정읍시","배추",6100,"전라북도",16830000,161615,35.5698491739949,126.855996873997,2022,702,78.5454545454545,15.7725321888412,19.025321888412,20.9288793103448,58.5770350564468
"전라북도 정읍시","배추",1206,"전라북도",16830000,161615,35.5698491739949,126.855996873997,2022,702,78.5454545454545,15.7725321888412,19.025321888412,20.9288793103448,11.5809679144385
"전라북도 정읍시","배추",1977,"전라북도",16830000,161615,35.5698491739949,126.855996873997,2022,702,78.5454545454545,15.7725321888412,19.025321888412,20.9288793103448,18.9847210338681
"전라북도 정읍시","배추",1355,"전라북도",16830000,161615,35.5698491739949,126.855996873997,2022,702,78.5454545454545,15.7725321888412,19.025321888412,20.9288793103448,13.011784016637
"전라북도 정읍시","배추",1567,"전라북도",16830000,161615,35.5698491739949,126.855996873997,2022,702,78.5454545454545,15.7725321888412,19.025321888412,20.9288793103448,15.0475760546643
"경상북도 포항시 북구","배추",2202,"경상북도",36400000,243771,36.0437417308541,129.368575852182,2022,972,71.6623931623932,28.1385281385281,18.4952991452991,21.407264957265,14.7468060989011
"경상북도 포항시 북구","배추",2194,"경상북도",36400000,243771,36.0437417308541,129.368575852182,2022,972,71.6623931623932,28.1385281385281,18.4952991452991,21.407264957265,14.6932300549451
"경상북도 포항시 북구","배추",2280,"경상북도",36400000,243771,36.0437417308541,129.368575852182,2022,972,71.6623931623932,28.1385281385281,18.4952991452991,21.407264957265,15.2691725274725
"경기도 용인시 처인구","배추",2701,"경기도",14350000,124769,37.2343060386837,127.201357139725,2022,119,70.663829787234,15.9829787234043,19.0974468085106,20.7587234042553,23.4843950522648
"경기도 용인시 처인구","배추",2479,"경기도",14350000,124769,37.2343060386837,127.201357139725,2022,119,70.663829787234,15.9829787234043,19.0974468085106,20.7587234042553,21.5541708013937
"경기도 용인시 처인구","배추",626,"경기도",14350000,124769,37.2343060386837,127.201357139725,2022,119,70.663829787234,15.9829787234043,19.0974468085106,20.7587234042553,5.44288459930314
"경기도 용인시 처인구","배추",1880,"경기도",14350000,124769,37.2343060386837,127.201357139725,2022,119,70.663829787234,15.9829787234043,19.0974468085106,20.7587234042553,16.3460432055749
"경기도 용인시 처인구","배추",120,"경기도",14350000,124769,37.2343060386837,127.201357139725,2022,119,70.663829787234,15.9829787234043,19.0974468085106,20.7587234042553,1.04336445993031
"경기도 용인시 처인구","배추",1522,"경기도",14350000,124769,37.2343060386837,127.201357139725,2022,119,70.663829787234,15.9829787234043,19.0974468085106,20.7587234042553,13.2333392334495
"경기도 용인시 처인구","배추",111,"경기도",14350000,124769,37.2343060386837,127.201357139725,2022,119,70.663829787234,15.9829787234043,19.0974468085106,20.7587234042553,0.96511212543554
"경기도 용인시 처인구","배추",546,"경기도",14350000,124769,37.2343060386837,127.201357139725,2022,119,70.663829787234,15.9829787234043,19.0974468085106,20.7587234042553,4.74730829268293
"경기도 용인시 처인구","배추",355,"경기도",14350000,124769,37.2343060386837,127.201357139725,2022,119,70.663829787234,15.9829787234043,19.0974468085106,20.7587234042553,3.08661986062718
"경기도 용인시 처인구","배추",850,"경기도",14350000,124769,37.2343060386837,127.201357139725,2022,119,70.663829787234,15.9829787234043,19.0974468085106,20.7587234042553,7.39049825783972
"경기도 용인시 처인구","배추",3733,"경기도",14350000,124769,37.2343060386837,127.201357139725,2022,119,70.663829787234,15.9829787234043,19.0974468085106,20.7587234042553,32.4573294076655
"경기도 용인시 처인구","배추",80,"경기도",14350000,124769,37.2343060386837,127.201357139725,2022,119,70.663829787234,15.9829787234043,19.0974468085106,20.7587234042553,0.695576306620209
"경기도 용인시 처인구","배추",1123,"경기도",14350000,124769,37.2343060386837,127.201357139725,2022,119,70.663829787234,15.9829787234043,19.0974468085106,20.7587234042553,9.76415240418119
"경기도 용인시 처인구","배추",6096,"경기도",14350000,124769,37.2343060386837,127.201357139725,2022,119,70.663829787234,15.9829787234043,19.0974468085106,20.7587234042553,53.0029145644599
"경기도 용인시 처인구","배추",4945,"경기도",14350000,124769,37.2343060386837,127.201357139725,2022,119,70.663829787234,15.9829787234043,19.0974468085106,20.7587234042553,42.9953104529617
"전라남도 진도군","배추",759,"전라남도",83640000,701228,34.486828620348,126.263446186439,2022,258,74.6794871794872,30.131914893617,19.9116379310345,21.6320512820513,6.36336743185079
"전라남도 진도군","배추",200,"전라남도",83640000,701228,34.486828620348,126.263446186439,2022,258,74.6794871794872,30.131914893617,19.9116379310345,21.6320512820513,1.67677666188427
"전라남도 진도군","배추",580,"전라남도",83640000,701228,34.486828620348,126.263446186439,2022,258,74.6794871794872,30.131914893617,19.9116379310345,21.6320512820513,4.86265231946437
"전라남도 진도군","배추",450,"전라남도",83640000,701228,34.486828620348,126.263446186439,2022,258,74.6794871794872,30.131914893617,19.9116379310345,21.6320512820513,3.7727474892396
"전라남도 진도군","배추",1326,"전라남도",83640000,701228,34.486828620348,126.263446186439,2022,258,74.6794871794872,30.131914893617,19.9116379310345,21.6320512820513,11.1170292682927
"전라남도 진도군","배추",590,"전라남도",83640000,701228,34.486828620348,126.263446186439,2022,258,74.6794871794872,30.131914893617,19.9116379310345,21.6320512820513,4.94649115255858
"전라남도 진도군","배추",840,"전라남도",83640000,701228,34.486828620348,126.263446186439,2022,258,74.6794871794872,30.131914893617,19.9116379310345,21.6320512820513,7.04246197991392
"전라남도 진도군","배추",1238,"전라남도",83640000,701228,34.486828620348,126.263446186439,2022,258,74.6794871794872,30.131914893617,19.9116379310345,21.6320512820513,10.3792475370636
"전라남도 진도군","배추",688,"전라남도",83640000,701228,34.486828620348,126.263446186439,2022,258,74.6794871794872,30.131914893617,19.9116379310345,21.6320512820513,5.76811171688187
"전라남도 진도군","배추",571,"전라남도",83640000,701228,34.486828620348,126.263446186439,2022,258,74.6794871794872,30.131914893617,19.9116379310345,21.6320512820513,4.78719736967958
"전라남도 진도군","배추",1223,"전라남도",83640000,701228,34.486828620348,126.263446186439,2022,258,74.6794871794872,30.131914893617,19.9116379310345,21.6320512820513,10.2534892874223
"전라남도 진도군","배추",658,"전라남도",83640000,701228,34.486828620348,126.263446186439,2022,258,74.6794871794872,30.131914893617,19.9116379310345,21.6320512820513,5.51659521759923
"전라남도 진도군","배추",725,"전라남도",83640000,701228,34.486828620348,126.263446186439,2022,258,74.6794871794872,30.131914893617,19.9116379310345,21.6320512820513,6.07831539933046
"전라남도 진도군","배추",1130,"전라남도",83640000,701228,34.486828620348,126.263446186439,2022,258,74.6794871794872,30.131914893617,19.9116379310345,21.6320512820513,9.4737881396461
"전라남도 진도군","배추",893,"전라남도",83640000,701228,34.486828620348,126.263446186439,2022,258,74.6794871794872,30.131914893617,19.9116379310345,21.6320512820513,7.48680779531325
"전라남도 진도군","배추",929,"전라남도",83640000,701228,34.486828620348,126.263446186439,2022,258,74.6794871794872,30.131914893617,19.9116379310345,21.6320512820513,7.78862759445242
"전라남도 진도군","배추",240,"전라남도",83640000,701228,34.486828620348,126.263446186439,2022,258,74.6794871794872,30.131914893617,19.9116379310345,21.6320512820513,2.01213199426112
"전라남도 진도군","배추",1630,"전라남도",83640000,701228,34.486828620348,126.263446186439,2022,258,74.6794871794872,30.131914893617,19.9116379310345,21.6320512820513,13.6657297943568
"전라남도 진도군","배추",140,"전라남도",83640000,701228,34.486828620348,126.263446186439,2022,258,74.6794871794872,30.131914893617,19.9116379310345,21.6320512820513,1.17374366331899
"전라남도 진도군","배추",1126,"전라남도",83640000,701228,34.486828620348,126.263446186439,2022,258,74.6794871794872,30.131914893617,19.9116379310345,21.6320512820513,9.44025260640842
"전라남도 진도군","배추",734,"전라남도",83640000,701228,34.486828620348,126.263446186439,2022,258,74.6794871794872,30.131914893617,19.9116379310345,21.6320512820513,6.15377034911526
"전라남도 진도군","배추",1128,"전라남도",83640000,701228,34.486828620348,126.263446186439,2022,258,74.6794871794872,30.131914893617,19.9116379310345,21.6320512820513,9.45702037302726
"전라남도 진도군","배추",1437,"전라남도",83640000,701228,34.486828620348,126.263446186439,2022,258,74.6794871794872,30.131914893617,19.9116379310345,21.6320512820513,12.0476403156384
"전라남도 진도군","배추",802,"전라남도",83640000,701228,34.486828620348,126.263446186439,2022,258,74.6794871794872,30.131914893617,19.9116379310345,21.6320512820513,6.7238744141559
"전라남도 진도군","배추",1980,"전라남도",83640000,701228,34.486828620348,126.263446186439,2022,258,74.6794871794872,30.131914893617,19.9116379310345,21.6320512820513,16.6000889526542
"전라남도 진도군","배추",1377,"전라남도",83640000,701228,34.486828620348,126.263446186439,2022,258,74.6794871794872,30.131914893617,19.9116379310345,21.6320512820513,11.5446073170732
"전라남도 진도군","배추",1922,"전라남도",83640000,701228,34.486828620348,126.263446186439,2022,258,74.6794871794872,30.131914893617,19.9116379310345,21.6320512820513,16.1138237207078
"전라남도 진도군","배추",1162.2,"전라남도",83640000,701228,34.486828620348,126.263446186439,2022,258,74.6794871794872,30.131914893617,19.9116379310345,21.6320512820513,9.74374918220947
"전라남도 진도군","배추",280,"전라남도",83640000,701228,34.486828620348,126.263446186439,2022,258,74.6794871794872,30.131914893617,19.9116379310345,21.6320512820513,2.34748732663797
"전라남도 진도군","배추",61,"전라남도",83640000,701228,34.486828620348,126.263446186439,2022,258,74.6794871794872,30.131914893617,19.9116379310345,21.6320512820513,0.511416881874701
"전라남도 진도군","배추",150,"전라남도",83640000,701228,34.486828620348,126.263446186439,2022,258,74.6794871794872,30.131914893617,19.9116379310345,21.6320512820513,1.2575824964132
"전라남도 진도군","배추",3051,"전라남도",83640000,701228,34.486828620348,126.263446186439,2022,258,74.6794871794872,30.131914893617,19.9116379310345,21.6320512820513,25.5792279770445
"전라남도 진도군","배추",177,"전라남도",83640000,701228,34.486828620348,126.263446186439,2022,258,74.6794871794872,30.131914893617,19.9116379310345,21.6320512820513,1.48394734576758
"전라남도 진도군","배추",2824,"전라남도",83640000,701228,34.486828620348,126.263446186439,2022,258,74.6794871794872,30.131914893617,19.9116379310345,21.6320512820513,23.6760864658058
"전라남도 진도군","배추",960,"전라남도",83640000,701228,34.486828620348,126.263446186439,2022,258,74.6794871794872,30.131914893617,19.9116379310345,21.6320512820513,8.04852797704448
"전라남도 진도군","배추",1332,"전라남도",83640000,701228,34.486828620348,126.263446186439,2022,258,74.6794871794872,30.131914893617,19.9116379310345,21.6320512820513,11.1673325681492
"전라남도 진도군","배추",1124,"전라남도",83640000,701228,34.486828620348,126.263446186439,2022,258,74.6794871794872,30.131914893617,19.9116379310345,21.6320512820513,9.42348483978957
"전라남도 진도군","배추",1428,"전라남도",83640000,701228,34.486828620348,126.263446186439,2022,258,74.6794871794872,30.131914893617,19.9116379310345,21.6320512820513,11.9721853658537
"전라남도 진도군","배추",2073,"전라남도",83640000,701228,34.486828620348,126.263446186439,2022,258,74.6794871794872,30.131914893617,19.9116379310345,21.6320512820513,17.3797901004304
"전라남도 진도군","배추",995,"전라남도",83640000,701228,34.486828620348,126.263446186439,2022,258,74.6794871794872,30.131914893617,19.9116379310345,21.6320512820513,8.34196389287422
"전라남도 진도군","배추",1378,"전라남도",83640000,701228,34.486828620348,126.263446186439,2022,258,74.6794871794872,30.131914893617,19.9116379310345,21.6320512820513,11.5529912003826
"전라남도 진도군","배추",508,"전라남도",83640000,701228,34.486828620348,126.263446186439,2022,258,74.6794871794872,30.131914893617,19.9116379310345,21.6320512820513,4.25901272118604
"전라남도 진도군","배추",856,"전라남도",83640000,701228,34.486828620348,126.263446186439,2022,258,74.6794871794872,30.131914893617,19.9116379310345,21.6320512820513,7.17660411286466
"전라남도 진도군","배추",1095,"전라남도",83640000,701228,34.486828620348,126.263446186439,2022,258,74.6794871794872,30.131914893617,19.9116379310345,21.6320512820513,9.18035222381636
"전라남도 진도군","배추",2327,"전라남도",83640000,701228,34.486828620348,126.263446186439,2022,258,74.6794871794872,30.131914893617,19.9116379310345,21.6320512820513,19.5092964610234
"전라남도 진도군","배추",1557,"전라남도",83640000,701228,34.486828620348,126.263446186439,2022,258,74.6794871794872,30.131914893617,19.9116379310345,21.6320512820513,13.053706312769
