"","지점명","연간","지점","X1.5M.평균.습도...","X10CM.일.토양수분...","X1.5M.평균.기온..C.","평균.지면온도..C.","X0.5M.일.지중온도..C."
"1","강정","2023",980,75.755364806867,12.1324786324786,20.4073913043478,22.3789699570815,22.342735042735
"2","대곡","2023",974,78.6594827586207,11.7051282051282,19.4917748917749,21.6288793103448,21.442735042735
"3","보성군(농)","2023",258,79.0258620689655,33.2136752136752,20.014224137931,21.089224137931,18.6277777777778
"4","서산(농)","2023",129,73.6137339055794,21.3717948717949,18.992576419214,21.9673819742489,19.8213675213675
"5","수원(농)","2023",119,70.2370689655172,25.5598290598291,19.3728448275862,22.223275862069,19.801282051282
"6","안동옥동","2023",972,75,49.5867346938776,18.8652360515021,21.8995708154506,20.0162393162393
"7","오창가곡","2023",977,75.9051724137931,20.0815450643777,19.6659482758621,22.5646551724138,20.1077253218884
"8","익산","2023",702,70.8078602620087,19.3862660944206,19.5624454148472,20.2043668122271,19.5145922746781
"9","춘천신북","2023",978,71.8318965517241,13.9883720930233,18.553711790393,21.8426724137931,19.4480686695279
"10","화순능주","2023",973,79.1875,23.9665071770335,18.6206730769231,21.4149038461538,19.6942583732057
