인증번호,소재지,품목,재배면적.제곱미터.,생산계획량.톤.
1005737,충청북도 괴산군,배추,2453,6
1005737,충청북도 괴산군,배추,3337,8
1005737,충청북도 괴산군,배추,2453,15
1005737,충청북도 괴산군,배추,4380,30
1005737,충청북도 괴산군,배추,3337,30
1005737,충청북도 괴산군,배추,6615,10
1005737,충청북도 괴산군,배추,4380,30
1005737,충청북도 괴산군,배추,6615,43
1007083,전라북도 정읍시,배추,1276,0.08
1007083,전라북도 정읍시,배추,6100,0.37
1007083,전라북도 정읍시,배추,1206,0.07
1007083,전라북도 정읍시,배추,1977,0.12
1007083,전라북도 정읍시,배추,1355,0.08
1007083,전라북도 정읍시,배추,1206,8.5
1007083,전라북도 정읍시,배추,1977,13.8
1007083,전라북도 정읍시,배추,1567,11
1007083,전라북도 정읍시,배추,6100,42.7
1007083,전라북도 정읍시,배추,1276,8.9
1007083,전라북도 정읍시,배추,1355,9.5
1007083,전라북도 정읍시,배추,1567,0.09
1007335,경상북도 포항시 북구,배추,2202,23
1007335,경상북도 포항시 북구,배추,2194,23
1007335,경상북도 포항시 북구,배추,2280,24
1009401,경기도 용인시 처인구,배추,2701,9.8
1009401,경기도 용인시 처인구,배추,2479,21.59
1009401,경기도 용인시 처인구,배추,626,5.5
1009401,경기도 용인시 처인구,배추,1880,3
1009401,경기도 용인시 처인구,배추,2701,23.52
1009401,경기도 용인시 처인구,배추,120,0.44
1009401,경기도 용인시 처인구,배추,2479,9
1009401,경기도 용인시 처인구,배추,1522,15.53
1009401,경기도 용인시 처인구,배추,111,0.4
1009401,경기도 용인시 처인구,배추,546,2.32
1009401,경기도 용인시 처인구,배추,1880,17
1009401,경기도 용인시 처인구,배추,355,1.29
1009401,경기도 용인시 처인구,배추,850,1.5
1009401,경기도 용인시 처인구,배추,850,1.5
1009401,경기도 용인시 처인구,배추,850,8
1009401,경기도 용인시 처인구,배추,546,5.57
1009401,경기도 용인시 처인구,배추,3733,38.09
1009401,경기도 용인시 처인구,배추,80,0.82
1009401,경기도 용인시 처인구,배추,3733,15.87
1009401,경기도 용인시 처인구,배추,80,0.34
1009401,경기도 용인시 처인구,배추,1522,6.47
1009401,경기도 용인시 처인구,배추,1123,4.08
1009401,경기도 용인시 처인구,배추,626,1
1009401,경기도 용인시 처인구,배추,1880,3
1009401,경기도 용인시 처인구,배추,626,1
1009401,경기도 용인시 처인구,배추,6096,51
1009401,경기도 용인시 처인구,배추,6096,9
1009401,경기도 용인시 처인구,배추,6096,9
1009401,경기도 용인시 처인구,배추,4945,45
1009401,경기도 용인시 처인구,배추,4945,15
1009401,경기도 용인시 처인구,배추,120,1.05
1009401,경기도 용인시 처인구,배추,355,3.09
1009401,경기도 용인시 처인구,배추,4945,15
1009401,경기도 용인시 처인구,배추,111,0.97
1009401,경기도 용인시 처인구,배추,1123,9.78
1009653,전라남도 진도군,배추,759,6.67
1009653,전라남도 진도군,배추,200,1.76
1009653,전라남도 진도군,배추,580,5.1
1009653,전라남도 진도군,배추,450,3.95
1009653,전라남도 진도군,배추,1326,11.65
1009653,전라남도 진도군,배추,590,5.18
1009653,전라남도 진도군,배추,840,7.38
1009653,전라남도 진도군,배추,1238,10.88
1009653,전라남도 진도군,배추,688,6.05
1009653,전라남도 진도군,배추,571,5.02
1009653,전라남도 진도군,배추,1223,10.75
1009653,전라남도 진도군,배추,658,5.78
1009653,전라남도 진도군,배추,725,6.37
1009653,전라남도 진도군,배추,1130,9.93
1009653,전라남도 진도군,배추,893,7.85
1009653,전라남도 진도군,배추,929,8.16
1009653,전라남도 진도군,배추,240,2.11
1009653,전라남도 진도군,배추,1630,14.32
1009653,전라남도 진도군,배추,140,1.23
1009653,전라남도 진도군,배추,1126,9.9
1009653,전라남도 진도군,배추,734,6.45
1009653,전라남도 진도군,배추,1128,9.91
1009653,전라남도 진도군,배추,1437,12.63
1009653,전라남도 진도군,배추,802,7.05
1009653,전라남도 진도군,배추,1980,17.4
1009653,전라남도 진도군,배추,1377,12.1
1009653,전라남도 진도군,배추,1922,16.89
1009653,전라남도 진도군,배추,1162.2,10.21
1009653,전라남도 진도군,배추,280,2.46
1009653,전라남도 진도군,배추,61,0.54
1009653,전라남도 진도군,배추,150,1.32
1009653,전라남도 진도군,배추,3051,26.81
1009653,전라남도 진도군,배추,177,1.56
1009653,전라남도 진도군,배추,2824,24.82
1009653,전라남도 진도군,배추,960,8.44
1009653,전라남도 진도군,배추,1332,11.71
1009653,전라남도 진도군,배추,1124,9.88
1009653,전라남도 진도군,배추,1428,12.55
1009653,전라남도 진도군,배추,2073,18.22
1009653,전라남도 진도군,배추,995,8.74
1009653,전라남도 진도군,배추,1378,12.11
1009653,전라남도 진도군,배추,508,4.46
1009653,전라남도 진도군,배추,856,7.52
1009653,전라남도 진도군,배추,1095,9.62
1009653,전라남도 진도군,배추,2327,20.45
1009653,전라남도 진도군,배추,1557,13.68
1009653,전라남도 진도군,배추,261,2.29
1009653,전라남도 진도군,배추,1552,13.64
1009653,전라남도 진도군,배추,4393,38.61
1009653,전라남도 진도군,배추,702,6.17
1009653,전라남도 진도군,배추,1230,10.81
1009653,전라남도 진도군,배추,188,1.65
1009653,전라남도 진도군,배추,110,0.97
1009653,전라남도 진도군,배추,1457,12.8
1009653,전라남도 진도군,배추,640,5.62
1009653,전라남도 진도군,배추,1120,9.84
1009653,전라남도 진도군,배추,2200,19.33
1009653,전라남도 진도군,배추,1983,17.43
1009653,전라남도 진도군,배추,1123,9.87
1009653,전라남도 진도군,배추,691,6.07
1009653,전라남도 진도군,배추,708,6.22
1009653,전라남도 진도군,배추,204,1.79
1009653,전라남도 진도군,배추,2354,20.69
1009653,전라남도 진도군,배추,3127.7,27.49
1009653,전라남도 진도군,배추,220,1.93
1009653,전라남도 진도군,배추,1183,10.4
1009653,전라남도 진도군,배추,936,9.55
1009653,전라남도 진도군,배추,426,3.74
1009653,전라남도 진도군,배추,578,5.08
1009653,전라남도 진도군,배추,5064,44.5
1009653,전라남도 진도군,배추,369,3.24
1009653,전라남도 진도군,배추,1607,14.12
1009653,전라남도 진도군,배추,1947,17.11
1009653,전라남도 진도군,배추,1230,10.81
1009653,전라남도 진도군,배추,1959,17.22
1009653,전라남도 진도군,배추,940,8.26
1009653,전라남도 진도군,배추,1943,17.07
1009653,전라남도 진도군,배추,1516,13.32
1009653,전라남도 진도군,배추,156,1.37
1009653,전라남도 진도군,배추,1470,12.92
1009653,전라남도 진도군,배추,1180,10.37
1009653,전라남도 진도군,배추,653,5.74
1009653,전라남도 진도군,배추,1530,13.45
